k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,lastNum,num
21.2,0.866666666666667,0,51.2,22,3.09090909090909,31.4285714285714,6,64,4.33333333333333,0,80.6666666666667,2452,2837
16,1.6,0,42.4,30,0,15.7142857142857,6.52631578947368,36,3.33333333333333,0,69.6666666666667,2508,2989
22.8,2.06666666666667,40.625,48,14.6666666666667,9.27272727272727,20,5.78947368421053,44,3,0,53.1666666666667,2038,2491
23.2,1.73333333333333,0,67.2,18,0,25.7142857142857,5.89473684210526,64,3.33333333333333,20,111.833333333333,1531,1811
28,1.56666666666667,20.625,65.6,14.6666666666667,6.36363636363636,42.1428571428571,5.89473684210526,20,3.66666666666667,0,128.333333333333,2176,2695
21.2,2.1,20.625,63.2,22,3.09090909090909,35.7142857142857,5.89473684210526,8,3,8,113.666666666667,2810,3276
24.4,1.73333333333333,0,65.6,18,9.45454545454546,22.1428571428571,5.26315789473684,100,2.66666666666667,4,139.333333333333,2969,3746
22,1.56666666666667,0,51.2,18.6666666666667,6.36363636363636,22.1428571428571,4.94736842105263,28,3,4,49.5,2795,3832
26,2.66666666666667,42.5,44,30,3.27272727272727,17.1428571428571,5.36842105263158,36,2,0,115.5,3037,3885
24.4,1.46666666666667,38.125,48,37.3333333333333,0,18.5714285714286,4.94736842105263,24,2.33333333333333,4,75.1666666666667,2383,2944
26.8,2.56666666666667,40.625,58.4,14,6.18181818181818,27.1428571428571,4.52631578947368,44,1.33333333333333,16,121,1681,2409
24.4,1.16666666666667,0,45.6,21.3333333333333,3.09090909090909,25.7142857142857,4.73684210526316,28,1.66666666666667,0,84.3333333333333,2426,3615
24.8,1.16666666666667,39.375,34.4,28,2.90909090909091,15.7142857142857,4.21052631578947,44,1.33333333333333,8,82.5,2996,3871
19.2,0.8,0,28.8,20.6666666666667,2.90909090909091,14.2857142857143,3.57894736842105,8,1,4,66,3209,4532
26.8,1.2,20.625,28,32.6666666666667,0,11.4285714285714,3.57894736842105,44,0.666666666666667,4,58.6666666666667,2837,3256
26,1.83333333333333,0,31.2,14,0,16.4285714285714,4.42105263157895,28,2.33333333333333,0,42.1666666666667,2989,3071
25.6,1.63333333333333,0,30.4,28,5.81818181818182,12.8571428571429,4.42105263157895,16,1.66666666666667,0,115.5,2491,3166
31.6,2.5,20,53.6,34.6666666666667,0,31.4285714285714,4.63157894736842,68,3.33333333333333,0,110,1811,3343
36.4,2.26666666666667,0,59.2,34,5.81818181818182,28.5714285714286,5.15789473684211,60,4,0,141.166666666667,2695,4949
40,1.3,0,69.6,55.3333333333333,0,26.4285714285714,5.89473684210526,52,5.33333333333333,0,183.333333333333,3276,6049
34.4,3.33333333333333,0,65.6,36.6666666666667,5.63636363636364,27.1428571428571,6.21052631578947,84,6,0,133.833333333333,3746,7642
